Id,Bank,Name,Sitz,Land,Verband
348,sparkasse,Nassauische Sparkasse,Wiesbaden,HE/RP,SGVHT
349,sparkasse,Sparkasse Wilhelmshaven,Wilhelmshaven,NI,SVN
350,sparkasse,Sparkasse Mecklenburg-Nordwest,Wismar,MV,OSV
351,sparkasse,Sparkasse Witten,Witten,NW,SVWL
352,sparkasse,Sparkasse Wolfach,Wolfach,BW,SVBW
353,sparkasse,Stadtsparkasse Wunstorf,Wunstorf,NI,SVN
354,sparkasse,Stadtsparkasse Wuppertal,Wuppertal,NW,RSGV
355,sparkasse,Sparkasse Mainfranken Würzburg,Würzburg,BY,SVB
356,sparkasse,Sparkasse Burgenlandkreis,Zeitz,ST,OSV
357,sparkasse,Sparkasse Rotenburg Osterholz,Zeven,NI,SVN
358,sparkasse,Sparkasse Oberlausitz-Niederschlesien,Zittau,SN,OSV
359,sparkasse,Sparkasse Zwickau,Zwickau,SN,OSV
360,sparkasse,,,,
361,sparkasse,,,,
362,sparkasse,,,,
363,sparkasse,,,,
364,sparkasse,,,,
365,sparkasse,,,,
366,sparkasse,,,,
367,sparkasse,,,,
368,sparkasse,,,,
369,sparkasse,,,,
370,sparkasse,,,,
371,sparkasse,,,,
372,sparkasse,,,,
373,sparkasse,,,,
374,sparkasse,,,,
375,sparkasse,,,,
376,sparkasse,,,,
377,sparkasse,,,,
378,sparkasse,,,,
379,sparkasse,,,,
380,sparkasse,,,,
381,sparkasse,,,,
382,sparkasse,,,,
383,sparkasse,,,,
384,sparkasse,,,,
385,sparkasse,,,,
386,sparkasse,,,,
387,sparkasse,,,,
388,sparkasse,,,,
389,sparkasse,,,,
390,sparkasse,,,,
391,sparkasse,,,,
392,sparkasse,,,,
393,sparkasse,,,,
394,sparkasse,,,,
395,sparkasse,,,,
396,sparkasse,,,,
397,sparkasse,,,,
398,sparkasse,,,,
399,sparkasse,,,,
400,sparkasse,,,,
401,sparkasse,,,,
402,sparkasse,,,,
403,sparkasse,,,,
404,sparkasse,,,,
405,sparkasse,,,,
406,sparkasse,,,,
407,sparkasse,,,,
408,sparkasse,,,,
409,sparkasse,,,,
410,sparkasse,,,,
411,sparkasse,,,,
412,sparkasse,,,,
413,sparkasse,,,,
414,sparkasse,,,,
415,sparkasse,,,,
416,sparkasse,,,,
417,sparkasse,,,,
418,sparkasse,,,,
419,sparkasse,,,,
420,sparkasse,,,,
421,sparkasse,,,,
422,sparkasse,,,,
423,sparkasse,,,,
424,sparkasse,,,,
425,sparkasse,,,,
426,sparkasse,,,,
427,sparkasse,,,,
428,sparkasse,,,,
429,sparkasse,,,,
430,sparkasse,,,,
431,sparkasse,,,,
432,sparkasse,,,,
433,sparkasse,,,,
434,sparkasse,,,,
435,sparkasse,,,,
436,sparkasse,,,,
437,sparkasse,,,,
438,sparkasse,,,,
439,sparkasse,,,,
440,sparkasse,,,,
441,sparkasse,,,,
442,sparkasse,,,,
443,sparkasse,,,,
444,sparkasse,,,,
445,sparkasse,,,,
446,sparkasse,,,,
447,sparkasse,,,,
448,sparkasse,,,,
449,sparkasse,,,,
450,sparkasse,,,,
451,sparkasse,,,,
452,sparkasse,,,,
453,sparkasse,,,,
454,sparkasse,,,,
455,sparkasse,,,,
456,sparkasse,,,,
457,sparkasse,,,,
458,sparkasse,,,,
459,sparkasse,,,,
460,sparkasse,,,,
461,sparkasse,,,,
462,sparkasse,,,,
463,sparkasse,,,,
464,sparkasse,,,,
465,sparkasse,,,,
466,sparkasse,,,,
467,sparkasse,,,,
468,sparkasse,,,,
469,sparkasse,,,,
470,sparkasse,,,,
471,sparkasse,,,,
472,sparkasse,,,,
473,sparkasse,,,,
474,sparkasse,,,,
475,sparkasse,,,,
476,sparkasse,,,,
477,sparkasse,,,,
478,sparkasse,,,,
479,sparkasse,,,,
480,sparkasse,,,,
481,sparkasse,,,,
482,sparkasse,,,,
483,sparkasse,,,,
484,sparkasse,,,,
485,sparkasse,,,,
486,sparkasse,,,,
487,sparkasse,,,,
488,sparkasse,,,,
489,sparkasse,,,,
490,sparkasse,,,,
491,sparkasse,,,,
492,sparkasse,,,,
493,sparkasse,,,,
494,sparkasse,,,,
495,sparkasse,,,,
496,sparkasse,,,,
497,sparkasse,,,,
498,sparkasse,,,,
499,sparkasse,,,,
500,sparkasse,,,,
501,sparkasse,,,,
502,sparkasse,,,,
503,sparkasse,,,,
504,sparkasse,,,,
505,sparkasse,,,,
506,sparkasse,,,,
507,sparkasse,,,,
508,sparkasse,,,,
509,sparkasse,,,,
510,sparkasse,,,,
511,sparkasse,,,,
512,sparkasse,,,,
513,sparkasse,,,,
514,sparkasse,,,,
