Id,Bank,Name,Sitz,Land,Verband
135,sparkasse,Stadt-Sparkasse Haan (Rheinl.),Haan,NW,RSGV
136,sparkasse,Sparkasse an Volme und Ruhr,Hagen,NW,SVWL
137,sparkasse,Saalesparkasse,Halle (Saale),ST,OSV
138,sparkasse,Kreissparkasse Halle (Westf.),Halle (Westf.),NW,SVWL
139,sparkasse,Stadtsparkasse Haltern am See,Haltern am See,NW,SVWL
140,sparkasse,Hamburger Sparkasse AG,Hamburg,HH,"Freie Spk.
HSGV"
141,sparkasse,Sparkasse Harburg-Buxtehude,Hamburg,HH/NI,SVN
142,sparkasse,Sparkasse Hameln-Weserbergland,Hameln,NI,SVN
143,sparkasse,Sparkasse Hamm,Hamm,NW,SVWL
144,sparkasse,Sparkasse Hanau,Hanau,HE,SGVHT
145,sparkasse,Sparkasse Hannover,Hannover,NI,SVN
146,sparkasse,Sparkasse Kinzigtal,Haslach im Kinzigtal,BW,SVBW
147,sparkasse,Sparkasse Hattingen,Hattingen,NW,SVWL
148,sparkasse,Sparkasse Heidelberg,Heidelberg,BW,SVBW
149,sparkasse,Kreissparkasse Heidenheim,Heidenheim an der Brenz,BW,SVBW
150,sparkasse,Kreissparkasse Heilbronn,Heilbronn,BW,SVBW
151,sparkasse,Sparkasse Märkisches Sauerland Hemer–Menden,Hemer,NW,SVWL
152,sparkasse,Sparkasse Starkenburg,Heppenheim (Bergstraße),HE,SGVHT
153,sparkasse,Sparkasse Herford,Herford,NW,SVWL
154,sparkasse,Herner Sparkasse,Herne,NW,SVWL
155,sparkasse,Kreissparkasse Hildburghausen,Hildburghausen,TH,SGVHT
156,sparkasse,Sparkasse Hildesheim Goslar Peine,Hildesheim,NI,SVN
157,sparkasse,Kreissparkasse Saarpfalz,Homburg,SL,SVS
158,sparkasse,Kreissparkasse Steinfurt,Ibbenbüren,NW,SVWL
159,sparkasse,Kreissparkasse Birkenfeld,Idar-Oberstein,RP,SVRP
160,sparkasse,Sparkasse Arnstadt-Ilmenau,Ilmenau,TH,SGVHT
161,sparkasse,Sparkasse Ingolstadt Eichstätt,Ingolstadt,BY,SVB
162,sparkasse,Sparkasse Iserlohn,Iserlohn,NW,SVWL
163,sparkasse,Sparkasse Westholstein,Itzehoe,SH,"Freie Spk.
SGVSH"
164,sparkasse,Sparkasse Jena-Saale-Holzland,Jena,TH,SGVHT
165,sparkasse,Sparkasse Kaiserslautern,Kaiserslautern,RP,SVRP
166,sparkasse,Sparkasse Karlsruhe,Karlsruhe,BW,SVBW
167,sparkasse,Kasseler Sparkasse,Kassel,HE,SGVHT
168,sparkasse,Kreis- und Stadtsparkasse Kaufbeuren,Kaufbeuren,BY,SVB
169,sparkasse,Sparkasse Hanauerland,Kehl,BW,SVBW
170,sparkasse,Kreissparkasse Kelheim,Kelheim,BY,SVB
171,sparkasse,Sparkasse Allgäu,Kempten (Allgäu),BY,SVB
172,sparkasse,Förde Sparkasse,Kiel,SH,SGVSH
173,sparkasse,Sparkasse Kierspe-Meinerzhagen,Kierspe,NW,SVWL
174,sparkasse,Sparkasse Rhein-Maas,Kleve,NW,RSGV
175,sparkasse,Sparkasse Koblenz,Koblenz,RP,SVRP
176,sparkasse,Kreissparkasse Köln,Köln,NW,RSGV
177,sparkasse,Sparkasse KölnBonn,Köln,NW,RSGV
178,sparkasse,Sparkasse Waldeck-Frankenberg,Korbach,HE,SGVHT
179,sparkasse,Sparkasse Krefeld,Krefeld,NW,RSGV
180,sparkasse,Sparkasse Kulmbach-Kronach,Kulmbach,BY,SVB
181,sparkasse,Sparkasse Hohenlohekreis,Künzelsau,BW,SVBW
182,sparkasse,Kreissparkasse Kusel,Kusel,RP,SVRP
183,sparkasse,Sparkasse Südpfalz,Landau in der Pfalz,RP,SVRP
184,sparkasse,Sparkasse Landsberg-Dießen,Landsberg am Lech,BY,SVB
185,sparkasse,Sparkasse Landshut,Landshut,BY,SVB
186,sparkasse,Stadt-Sparkasse Langenfeld,Langenfeld,NW,RSGV
187,sparkasse,Sparkasse Laubach-Hungen,Laubach,HE,SGVHT
188,sparkasse,Sparkasse LeerWittmund,Leer und Wittmund,NI,SVN
189,sparkasse,Kreissparkasse Eichsfeld,Leinefelde-Worbis,TH,SGVHT
190,sparkasse,Sparkasse Leipzig,Leipzig,SN,OSV
191,sparkasse,Sparkasse Lemgo,Lemgo,NW,SVWL
192,sparkasse,Stadtsparkasse Lengerich,Lengerich,NW,SVWL
193,sparkasse,Sparkasse Leverkusen,Leverkusen,NW,RSGV
194,sparkasse,Kreissparkasse Limburg,Limburg an der Lahn,HE,SGVHT
195,sparkasse,Sparkasse Hellweg-Lippe,Lippstadt,NW,SVWL
196,sparkasse,Sparkasse Lörrach-Rheinfelden,Lörrach,BW,SVBW
197,sparkasse,Sparkasse zu Lübeck AG,Lübeck,SH,"Freie Spk.
SGVSH"
198,sparkasse,Kreissparkasse Ludwigsburg,Ludwigsburg,BW,SVBW
199,sparkasse,Sparkasse Vorderpfalz,Ludwigshafen am Rhein,RP,SVRP
200,sparkasse,Sparkasse Lüneburg,Lüneburg,NI,SVN
201,sparkasse,Sparkasse an der Lippe,Lünen,NW,SVWL
202,sparkasse,Sparkasse Mansfeld-Südharz,Lutherstadt Eisleben,ST,OSV
203,sparkasse,Sparkasse Wittenberg,Lutherstadt Wittenberg,ST,OSV
204,sparkasse,Sparkasse Magdeburg,Magdeburg,ST,OSV
205,sparkasse,Rheinhessen Sparkasse,Mainz,RP/HE,SVRP
206,sparkasse,Sparkasse Rhein Neckar Nord,Mannheim,BW,SVBW
207,sparkasse,Sparkasse Marburg-Biedenkopf,Marburg,HE,SGVHT
208,sparkasse,Kreissparkasse Mayen,Mayen,RP,SVRP
